id,text,answer,solution
0,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a data transmission protocol that allows for efficient and reliable data transfer over unreliable networks. It uses a sliding window mechanism to control the flow of data, allowing for multiple packets to be transmitted and acknowledged simultaneously. The window size determines the maximum number of packets that can be transmitted before an acknowledgment is required, with a larger window size allowing for higher throughput but potentially increasing the risk of packet loss.

  given values:
  Frame Size (f) = 4 KB * 8 = 32 Kb
  bandwidth (B) = 1.5 Mbps = 1.5 * 10^6 bps
  propagation delay (T_{p}) = 40 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(32 Kb)/(1.5*10^6 b)$
  $T_{t}=(32*1000 b)/(1.5*10^6 b)$
  $T_{t}=(32000 b)/(1.5*10^6 b)$
  $T_{t}=0.02133 sec$
  $T_{t}=21.33msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  40/21.33
  $a = 1.88

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*1.88)$
  $n = 0.8*(1+3.76)$
  $n = 0.8*(4.76)$
  $n = 3.808$
  $n = 3.808 ~ 4

  Window size is 4 
  The answer is: 4",4.0
1,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a data transmission protocol that allows the sender to send multiple frames before waiting for an acknowledgment. The window size is the number of frames that the sender can send before waiting for an acknowledgment. A larger window size allows for higher throughput, but it also increases the risk of lost frames. The optimal window size depends on the network conditions, such as the bandwidth and the latency.

  given values:
  Frame Size (f) = 7 KB * 8 = 56 Kb
  bandwidth (B) = 5.0 Mbps = 5.0 * 10^6 bps
  propagation delay (T_{p}) = 10 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(56 Kb)/(5.0*10^6 b)$
  $T_{t}=(56*1000 b)/(5.0*10^6 b)$
  $T_{t}=(56000 b)/(5.0*10^6 b)$
  $T_{t}=0.0112 sec$
  $T_{t}=11.2msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  10/11.2
  $a = 0.89

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*0.89)$
  $n = 0.8*(1+1.78)$
  $n = 0.8*(2.7800000000000002)$
  $n = 2.224$
  $n = 2.224 ~ 3

  Window size is 3 
  The answer is: 3",3.0
2,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a data transmission protocol that allows a sender to transmit multiple packets without waiting for an acknowledgment for each packet. The window size is the number of packets that can be transmitted before an acknowledgment is required. A larger window size allows for more efficient data transmission, but it also increases the risk of packet loss.

  given values:
  Frame Size (f) = 10 KB * 8 = 80 Kb
  bandwidth (B) = 3.5 Mbps = 3.5 * 10^6 bps
  propagation delay (T_{p}) = 10 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(80 Kb)/(3.5*10^6 b)$
  $T_{t}=(80*1000 b)/(3.5*10^6 b)$
  $T_{t}=(80000 b)/(3.5*10^6 b)$
  $T_{t}=0.02286 sec$
  $T_{t}=22.86msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  10/22.86
  $a = 0.44

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*0.44)$
  $n = 0.8*(1+0.88)$
  $n = 0.8*(1.88)$
  $n = 1.504$
  $n = 1.504 ~ 2

  Window size is 2 
  The answer is: 2",2.0
3,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a reliable data transfer protocol that allows a sender to transmit multiple frames simultaneously and a receiver to acknowledge and request retransmission of only the lost or corrupted frames. The window size defines the maximum number of frames that can be transmitted or received at any given time. A larger window size increases throughput but also increases the risk of lost frames, while a smaller window size reduces throughput but improves reliability.

  given values:
  Frame Size (f) = 9 KB * 8 = 72 Kb
  bandwidth (B) = 5.0 Mbps = 5.0 * 10^6 bps
  propagation delay (T_{p}) = 10 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(72 Kb)/(5.0*10^6 b)$
  $T_{t}=(72*1000 b)/(5.0*10^6 b)$
  $T_{t}=(72000 b)/(5.0*10^6 b)$
  $T_{t}=0.0144 sec$
  $T_{t}=14.4msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  10/14.4
  $a = 0.69

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*0.69)$
  $n = 0.8*(1+1.38)$
  $n = 0.8*(2.38)$
  $n = 1.904$
  $n = 1.904 ~ 2

  Window size is 2 
  The answer is: 2",2.0
4,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a data transmission protocol that allows a sender to transmit multiple packets at once and a receiver to acknowledge the receipt of packets selectively. The window size in this protocol refers to the number of packets that the sender can transmit before waiting for an acknowledgment from the receiver. A larger window size allows for higher throughput, but it also increases the risk of packet loss.

  given values:
  Frame Size (f) = 7 KB * 8 = 56 Kb
  bandwidth (B) = 5.0 Mbps = 5.0 * 10^6 bps
  propagation delay (T_{p}) = 30 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(56 Kb)/(5.0*10^6 b)$
  $T_{t}=(56*1000 b)/(5.0*10^6 b)$
  $T_{t}=(56000 b)/(5.0*10^6 b)$
  $T_{t}=0.0112 sec$
  $T_{t}=11.2msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  30/11.2
  $a = 2.68

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*2.68)$
  $n = 0.8*(1+5.36)$
  $n = 0.8*(6.36)$
  $n = 5.088000000000001$
  $n = 5.088000000000001 ~ 6

  Window size is 6 
  The answer is: 6",6.0
5,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a reliable data transfer protocol that allows the receiver to selectively acknowledge received packets, enabling efficient retransmission of lost packets. It uses a sliding window to control the flow of data, where the sender can send multiple packets within the window size and the receiver can acknowledge them individually. The window size determines the maximum number of packets that can be sent or received at a time, influencing the performance and efficiency of the protocol.

  given values:
  Frame Size (f) = 1 KB * 8 = 8 Kb
  bandwidth (B) = 4.0 Mbps = 4.0 * 10^6 bps
  propagation delay (T_{p}) = 40 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(8 Kb)/(4.0*10^6 b)$
  $T_{t}=(8*1000 b)/(4.0*10^6 b)$
  $T_{t}=(8000 b)/(4.0*10^6 b)$
  $T_{t}=0.002 sec$
  $T_{t}=2.0msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  40/2.0
  $a = 20.0

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*20.0)$
  $n = 0.8*(1+40.0)$
  $n = 0.8*(41.0)$
  $n = 32.800000000000004$
  $n = 32.800000000000004 ~ 33

  Window size is 33 
  The answer is: 33",33.0
6,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a data transmission protocol that allows a receiver to request retransmission of only the lost or corrupted packets, rather than the entire data stream. It uses a sliding window to keep track of the packets that have been sent and received, and the window size determines the maximum number of packets that can be outstanding at any given time. A larger window size allows for higher throughput, but also increases the risk of packet loss and retransmission.

  given values:
  Frame Size (f) = 8 KB * 8 = 64 Kb
  bandwidth (B) = 2.5 Mbps = 2.5 * 10^6 bps
  propagation delay (T_{p}) = 40 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(64 Kb)/(2.5*10^6 b)$
  $T_{t}=(64*1000 b)/(2.5*10^6 b)$
  $T_{t}=(64000 b)/(2.5*10^6 b)$
  $T_{t}=0.0256 sec$
  $T_{t}=25.6msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  40/25.6
  $a = 1.56

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*1.56)$
  $n = 0.8*(1+3.12)$
  $n = 0.8*(4.12)$
  $n = 3.2960000000000003$
  $n = 3.2960000000000003 ~ 4

  Window size is 4 
  The answer is: 4",4.0
7,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol (SR-SWP) is a data transmission protocol that allows a sender to transmit multiple frames simultaneously and a receiver to acknowledge each frame individually. It uses a sliding window to control the flow of data, ensuring that the sender does not send more frames than the receiver can handle. The window size determines the maximum number of frames that the sender can transmit before receiving an acknowledgment from the receiver. A larger window size allows for higher throughput, but it also increases the risk of data loss if a frame is lost or corrupted.

  given values:
  Frame Size (f) = 5 KB * 8 = 40 Kb
  bandwidth (B) = 2.5 Mbps = 2.5 * 10^6 bps
  propagation delay (T_{p}) = 20 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(40 Kb)/(2.5*10^6 b)$
  $T_{t}=(40*1000 b)/(2.5*10^6 b)$
  $T_{t}=(40000 b)/(2.5*10^6 b)$
  $T_{t}=0.016 sec$
  $T_{t}=16.0msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  20/16.0
  $a = 1.25

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*1.25)$
  $n = 0.8*(1+2.5)$
  $n = 0.8*(3.5)$
  $n = 2.8000000000000003$
  $n = 2.8000000000000003 ~ 3

  Window size is 3 
  The answer is: 3",3.0
8,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a reliable data transfer protocol that allows the receiver to acknowledge individual packets, enabling retransmission of only the lost or corrupted packets. The window size in this protocol defines the maximum number of packets that can be sent or received at any given time, ensuring efficient use of network resources and preventing buffer overflow.

  given values:
  Frame Size (f) = 2 KB * 8 = 16 Kb
  bandwidth (B) = 4.5 Mbps = 4.5 * 10^6 bps
  propagation delay (T_{p}) = 60 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(16 Kb)/(4.5*10^6 b)$
  $T_{t}=(16*1000 b)/(4.5*10^6 b)$
  $T_{t}=(16000 b)/(4.5*10^6 b)$
  $T_{t}=0.00356 sec$
  $T_{t}=3.56msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  60/3.56
  $a = 16.85

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*16.85)$
  $n = 0.8*(1+33.7)$
  $n = 0.8*(34.7)$
  $n = 27.760000000000005$
  $n = 27.760000000000005 ~ 28

  Window size is 28 
  The answer is: 28",28.0
9,"Consider a selective repeat sliding window protocol that uses a frame size of 2 KB to send data on a 3.5 Mbps link with a one-way latency of 80 msec. To achieve a link utilization of 80%, calculate the approximate window size?","
  Selective Repeat Sliding Window Protocol is a reliable data transfer protocol that allows a receiver to selectively acknowledge received packets and request retransmission of lost or corrupted packets. It uses a sliding window to track the sequence numbers of packets that have been sent and acknowledged, and it allows the sender to continue sending packets even if some packets are lost or delayed. The window size determines the maximum number of packets that can be sent without waiting for an acknowledgment, and it affects the efficiency and performance of the protocol.

  given values:
  Frame Size (f) = 7 KB * 8 = 56 Kb
  bandwidth (B) = 4.5 Mbps = 4.5 * 10^6 bps
  propagation delay (T_{p}) = 100 ms
  Utilization (U) = 80% = 0.8

  The transition delay is given by:
  $transition time(T_{t})=Frame size(f)/Bandwidth(B)$
  $T_{t}=(56 Kb)/(4.5*10^6 b)$
  $T_{t}=(56*1000 b)/(4.5*10^6 b)$
  $T_{t}=(56000 b)/(4.5*10^6 b)$
  $T_{t}=0.01244 sec$
  $T_{t}=12.44msec$

  let n be the window size.
  Utilization of a network is given by:
  $Utilization = n/(1+2a)$

  $where a = Propagation time (T_{p})/ transmission time (T_{t})$
  $a = T_{p}/T_{t}$
  $a =  100/12.44
  $a = 8.04

  Subsituting in the formula:
  $UtiliZation = n/(1+2*a)$
  $n = UtiliZation*(1+2*a)$
  $n = 0.8*(1+2*8.04)$
  $n = 0.8*(1+16.08)$
  $n = 0.8*(17.08)$
  $n = 13.664$
  $n = 13.664 ~ 14

  Window size is 14 
  The answer is: 14",14.0
